,0,2000,4000,6000,8000,10000
1,75000,84918,95706,100000,100000,100000
2,75000,83250,92226,100000,100000,100000
3,75000,84702,95226,100000,100000,100000
4,75000,84870,95538,100000,100000,100000
5,75000,84882,95580,100000,100000,100000
6,75000,84024,93984,100000,100000,100000
7,75000,83970,93600,100000,100000,100000
8,75000,83238,92214,100000,100000,100000
9,75000,82572,90744,99810,100000,100000
10,75000,84378,94866,100000,100000,100000
11,75000,84906,95748,100000,100000,100000
12,75000,82950,91590,100000,100000,100000
13,75000,82212,90090,98892,100000,100000
14,75000,84786,95538,100000,100000,100000
15,75000,82098,90018,98400,100000,100000
16,75000,82026,89946,98556,100000,100000
17,75000,81834,89394,97632,100000,100000
18,75000,84534,94998,100000,100000,100000
19,75000,84852,95634,100000,100000,100000
20,75000,83784,93252,100000,100000,100000
21,75000,82338,90354,99042,100000,100000
22,75000,82506,90630,99426,100000,100000
23,75000,83676,93186,100000,100000,100000
24,75000,84648,95406,100000,100000,100000
25,75000,85038,95982,100000,100000,100000
26,75000,84342,94620,100000,100000,100000
27,75000,83094,91764,100000,100000,100000
28,75000,84780,95304,100000,100000,100000
29,75000,83946,93564,100000,100000,100000
30,75000,82314,90270,98730,100000,100000
31,75000,83172,92076,100000,100000,100000
32,75000,82830,91578,100000,100000,100000
33,75000,84186,94128,100000,100000,100000
34,75000,83796,93456,100000,100000,100000
35,75000,84384,94848,100000,100000,100000
36,75000,84786,95340,100000,100000,100000
37,75000,82290,90180,98820,100000,100000
38,75000,82854,91476,100000,100000,100000
39,75000,84192,94212,100000,100000,100000
40,75000,84228,94410,100000,100000,100000
41,75000,82116,89880,98376,100000,100000
42,75000,82158,90288,98970,100000,100000
43,75000,82122,89646,97986,100000,100000
44,75000,82188,90126,98820,100000,100000
45,75000,82866,91326,100000,100000,100000
46,75000,82800,91176,100000,100000,100000
47,75000,82368,90192,99024,100000,100000
48,75000,83418,92820,100000,100000,100000
49,75000,85086,95934,100000,100000,100000
50,75000,83928,93468,100000,100000,100000
51,75000,83454,92406,100000,100000,100000
52,75000,82530,90642,99648,100000,100000
53,75000,84114,93852,100000,100000,100000
54,75000,82944,91710,100000,100000,100000
55,75000,83460,92586,100000,100000,100000
56,75000,82308,90360,99054,100000,100000
57,75000,84048,93822,100000,100000,100000
58,75000,83370,92358,100000,100000,100000
59,75000,84534,94932,100000,100000,100000
