,0,2000,4000,6000,8000,10000
1,50000,62000,74000,86000,98000,100000
2,50000,62000,74000,86000,98000,100000
3,50000,62000,74000,86000,98000,100000
4,50000,62000,74000,86000,98000,100000
5,50000,62000,74000,86000,98000,100000
6,50000,62000,74000,86000,98000,100000
7,50000,62000,74000,86000,98000,100000
8,50000,62000,74000,86000,98000,100000
9,50000,62000,74000,86000,98000,100000
10,50000,62000,74000,86000,98000,100000
11,50000,62000,74000,86000,98000,100000
12,50000,62000,74000,86000,98000,100000
13,50000,62000,74000,86000,98000,100000
14,50000,62000,74000,86000,98000,100000
15,50000,62000,74000,86000,98000,100000
16,50000,62000,74000,86000,98000,100000
17,50000,62000,74000,86000,98000,100000
18,50000,62000,74000,86000,98000,100000
19,50000,62000,74000,86000,98000,100000
20,50000,62000,74000,86000,98000,100000
21,50000,62000,74000,86000,98000,100000
22,50000,62000,74000,86000,98000,100000
23,50000,62000,74000,86000,98000,100000
24,50000,62000,74000,86000,98000,100000
25,50000,62000,74000,86000,98000,100000
26,50000,62000,74000,86000,98000,100000
27,50000,62000,74000,86000,98000,100000
28,50000,62000,74000,86000,98000,100000
29,50000,62000,74000,86000,98000,100000
30,50000,62000,74000,86000,98000,100000
31,50000,62000,74000,86000,98000,100000
32,50000,62000,74000,86000,98000,100000
33,50000,62000,74000,86000,98000,100000
34,50000,62000,74000,86000,98000,100000
35,50000,62000,74000,86000,98000,100000
36,50000,62000,74000,86000,98000,100000
37,50000,62000,74000,86000,98000,100000
38,50000,62000,74000,86000,98000,100000
39,50000,62000,74000,86000,98000,100000
40,50000,62000,74000,86000,98000,100000
41,50000,62000,74000,86000,98000,100000
42,50000,62000,74000,86000,98000,100000
43,50000,62000,74000,86000,98000,100000
44,50000,62000,74000,86000,98000,100000
45,50000,62000,74000,86000,98000,100000
46,50000,62000,74000,86000,98000,100000
47,50000,62000,74000,86000,98000,100000
48,50000,62000,74000,86000,98000,100000
49,50000,62000,74000,86000,98000,100000
50,50000,62000,74000,86000,98000,100000
51,50000,62000,74000,86000,98000,100000
52,50000,62000,74000,86000,98000,100000
53,50000,62000,74000,86000,98000,100000
54,50000,62000,74000,86000,98000,100000
55,50000,62000,74000,86000,98000,100000
56,50000,62000,74000,86000,98000,100000
57,50000,62000,74000,86000,98000,100000
58,50000,62000,74000,86000,98000,100000
59,50000,62000,74000,86000,98000,100000
60,50000,62000,74000,86000,98000,100000
61,50000,62000,74000,86000,98000,100000
62,50000,62000,74000,86000,98000,100000
63,50000,62000,74000,86000,98000,100000
64,50000,62000,74000,86000,98000,100000
65,50000,62000,74000,86000,98000,100000
66,50000,62000,74000,86000,98000,100000
67,50000,62000,74000,86000,98000,100000
68,50000,62000,74000,86000,98000,100000
69,50000,62000,74000,86000,98000,100000
70,50000,62000,74000,86000,98000,100000
71,50000,62000,74000,86000,98000,100000
72,50000,62000,74000,86000,98000,100000
73,50000,62000,74000,86000,98000,100000
74,50000,62000,74000,86000,98000,100000
75,50000,62000,74000,86000,98000,100000
76,50000,62000,74000,86000,98000,100000
77,50000,62000,74000,86000,98000,100000
78,50000,62000,74000,86000,98000,100000
79,50000,62000,74000,86000,98000,100000
80,50000,62000,74000,86000,98000,100000
81,50000,62000,74000,86000,98000,100000
82,50000,62000,74000,86000,98000,100000
83,50000,62000,74000,86000,98000,100000
84,50000,62000,74000,86000,98000,100000
85,50000,62000,74000,86000,98000,100000
86,50000,62000,74000,86000,98000,100000
87,50000,62000,74000,86000,98000,100000
88,50000,62000,74000,86000,98000,100000
89,50000,62000,74000,86000,98000,100000
90,50000,62000,74000,86000,98000,100000
91,50000,62000,74000,86000,98000,100000
92,50000,62000,74000,86000,98000,100000
93,50000,62000,74000,86000,98000,100000
94,50000,62000,74000,86000,98000,100000
95,50000,62000,74000,86000,98000,100000
96,50000,62000,74000,86000,98000,100000
97,50000,62000,74000,86000,98000,100000
98,50000,62000,74000,86000,98000,100000
99,50000,62000,74000,86000,98000,100000
100,50000,62000,74000,86000,98000,100000
101,50000,62000,74000,86000,98000,100000
102,50000,62000,74000,86000,98000,100000
103,50000,62000,74000,86000,98000,100000
104,50000,62000,74000,86000,98000,100000
105,50000,62000,74000,86000,98000,100000
106,50000,62000,74000,86000,98000,100000
107,50000,62000,74000,86000,98000,100000
108,50000,62000,74000,86000,98000,100000
109,50000,62000,74000,86000,98000,100000
110,50000,62000,74000,86000,98000,100000
111,50000,62000,74000,86000,98000,100000
112,50000,62000,74000,86000,98000,100000
113,50000,62000,74000,86000,98000,100000
114,50000,62000,74000,86000,98000,100000
115,50000,62000,74000,86000,98000,100000
116,50000,62000,74000,86000,98000,100000
117,50000,62000,74000,86000,98000,100000
118,50000,62000,74000,86000,98000,100000
119,50000,62000,74000,86000,98000,100000
120,50000,62000,74000,86000,98000,100000
121,50000,62000,74000,86000,98000,100000
122,50000,62000,74000,86000,98000,100000
123,50000,62000,74000,86000,98000,100000
124,50000,62000,74000,86000,98000,100000
125,50000,62000,74000,86000,98000,100000
126,50000,62000,74000,86000,98000,100000
127,50000,62000,74000,86000,98000,100000
128,50000,62000,74000,86000,98000,100000
129,50000,62000,74000,86000,98000,100000
130,50000,62000,74000,86000,98000,100000
131,50000,62000,74000,86000,98000,100000
132,50000,62000,74000,86000,98000,100000
133,50000,62000,74000,86000,98000,100000
134,50000,62000,74000,86000,98000,100000
135,50000,62000,74000,86000,98000,100000
136,50000,62000,74000,86000,98000,100000
137,50000,62000,74000,86000,98000,100000
138,50000,62000,74000,86000,98000,100000
139,50000,62000,74000,86000,98000,100000
140,50000,62000,74000,86000,98000,100000
141,50000,62000,74000,86000,98000,100000
142,50000,62000,74000,86000,98000,100000
143,50000,62000,74000,86000,98000,100000
144,50000,62000,74000,86000,98000,100000
145,50000,62000,74000,86000,98000,100000
146,50000,62000,74000,86000,98000,100000
147,50000,62000,74000,86000,98000,100000
148,50000,62000,74000,86000,98000,100000
149,50000,62000,74000,86000,98000,100000
150,50000,62000,74000,86000,98000,100000
151,50000,62000,74000,86000,98000,100000
152,50000,62000,74000,86000,98000,100000
153,50000,62000,74000,86000,98000,100000
154,50000,62000,74000,86000,98000,100000
155,50000,62000,74000,86000,98000,100000
156,50000,62000,74000,86000,98000,100000
157,50000,62000,74000,86000,98000,100000
158,50000,62000,74000,86000,98000,100000
159,50000,62000,74000,86000,98000,100000
160,50000,62000,74000,86000,98000,100000
161,50000,62000,74000,86000,98000,100000
162,50000,62000,74000,86000,98000,100000
163,50000,62000,74000,86000,98000,100000
164,50000,62000,74000,86000,98000,100000
165,50000,62000,74000,86000,98000,100000
166,50000,62000,74000,86000,98000,100000
167,50000,62000,74000,86000,98000,100000
168,50000,62000,74000,86000,98000,100000
169,50000,62000,74000,86000,98000,100000
170,50000,62000,74000,86000,98000,100000
171,50000,62000,74000,86000,98000,100000
172,50000,62000,74000,86000,98000,100000
173,50000,62000,74000,86000,98000,100000
174,50000,62000,74000,86000,98000,100000
175,50000,62000,74000,86000,98000,100000
176,50000,62000,74000,86000,98000,100000
177,50000,62000,74000,86000,98000,100000
